GEOID,Location,POP,Total_Households,Median_HH_Income,Low_Income_HH,Low_Income_Rate,HH_SNAP,SNAP_Rate,HH_Public_Assistance,Public_Assistance_Rate,Children_0_17,Children_0_4,Children_5_17,Child_Dependency_Rate,Elderly_65_Plus,Elderly_65_74,Elderly_75_Plus,Elderly_Dependency_Rate,Total_Dependency_Rate,HH_With_Children,HH_With_Children_Rate,Single_Parent_HH,Single_Parent_Rate,Renter_Occupied,Renter_Rate,Vacant_Housing_Units,Vacancy_Rate,Built_Before_1940,Old_Housing_Rate,Total_Workers,Workers_No_Car,No_Car_Rate,HH_No_Internet,No_Internet_Rate
295101024001,"Block Group 1, Tract 102400, St. Louis City",586,199,56250.0,19,0.09547738693467336,26,0.1306532663316583,0,0.0,208,58,150,0.35494880546075086,43,43,0,0.07337883959044368,0.4283276450511945,76,0.38190954773869346,0,0.0,41,0.20603015075376885,0,0.0,133,0.6683417085427136,129,26,0.20155038759689922,39,0.19597989949748743
295101024002,"Block Group 2, Tract 102400, St. Louis City",1364,523,54984.0,38,0.07265774378585087,2,0.0038240917782026767,14,0.02676864244741874,392,93,299,0.2873900293255132,41,29,12,0.030058651026392963,0.31744868035190615,159,0.30401529636711283,64,0.12237093690248566,255,0.4875717017208413,42,0.0743362831858407,457,0.8088495575221238,780,142,0.18205128205128204,29,0.055449330783938815
295101024003,"Block Group 3, Tract 102400, St. Louis City",686,346,49196.0,16,0.046242774566473986,39,0.11271676300578035,0,0.0,100,59,41,0.1457725947521866,197,123,74,0.28717201166180756,0.4329446064139942,60,0.17341040462427745,0,0.0,145,0.4190751445086705,79,0.18588235294117647,197,0.46352941176470586,424,115,0.27122641509433965,29,0.0838150289017341
295101025001,"Block Group 1, Tract 102500, St. Louis City",928,499,61860.0,42,0.0841683366733467,6,0.012024048096192385,75,0.15030060120240482,91,26,65,0.0980603448275862,141,128,13,0.15193965517241378,0.25,57,0.11422845691382766,25,0.050100200400801605,121,0.24248496993987975,48,0.08775137111517367,436,0.7970749542961609,549,34,0.061930783242258654,34,0.06813627254509018
295101025002,"Block Group 2, Tract 102500, St. Louis City",996,477,68125.0,39,0.08176100628930817,59,0.12368972746331237,5,0.010482180293501049,178,17,161,0.178714859437751,145,121,24,0.14558232931726908,0.32429718875502006,84,0.1761006289308176,0,0.0,111,0.23270440251572327,24,0.04790419161676647,242,0.48303393213572854,602,71,0.11794019933554817,44,0.09224318658280922
295101031001,"Block Group 1, Tract 103100, St. Louis City",794,552,55650.0,135,0.24456521739130435,0,0.0,0,0.0,67,0,67,0.08438287153652393,192,153,39,0.24181360201511334,0.3261964735516373,39,0.07065217391304347,0,0.0,284,0.5144927536231884,44,0.0738255033557047,140,0.2348993288590604,374,61,0.16310160427807488,224,0.4057971014492754
295101031002,"Block Group 2, Tract 103100, St. Louis City",1076,758,46250.0,61,0.08047493403693931,48,0.0633245382585752,6,0.0079155672823219,102,71,31,0.09479553903345725,276,123,153,0.25650557620817843,0.3513011152416357,82,0.10817941952506596,63,0.08311345646437995,483,0.637203166226913,59,0.07221542227662178,130,0.1591187270501836,706,65,0.09206798866855524,15,0.01978891820580475
295101031003,"Block Group 3, Tract 103100, St. Louis City",1202,721,63384.0,91,0.1262135922330097,16,0.022191400832177532,11,0.015256588072122053,176,53,123,0.1464226289517471,141,95,46,0.11730449251247921,0.2637271214642263,132,0.18307905686546463,0,0.0,389,0.5395284327323162,11,0.015027322404371584,219,0.29918032786885246,798,170,0.21303258145363407,33,0.04576976421636616
295101034001,"Block Group 1, Tract 103400, St. Louis City",930,531,53036.0,23,0.04331450094161959,48,0.0903954802259887,0,0.0,80,46,34,0.08602150537634409,103,75,28,0.110752688172043,0.1967741935483871,61,0.11487758945386065,9,0.01694915254237288,116,0.2184557438794727,23,0.04151624548736462,399,0.720216606498195,500,121,0.242,11,0.02071563088512241
295101034002,"Block Group 2, Tract 103400, St. Louis City",926,422,98611.0,36,0.08530805687203792,0,0.0,0,0.0,144,35,109,0.15550755939524838,197,180,17,0.21274298056155508,0.36825053995680346,97,0.22985781990521326,0,0.0,95,0.22511848341232227,39,0.08459869848156182,343,0.7440347071583514,625,107,0.1712,21,0.04976303317535545
